Red Corner,Blue Corner,Weight Class,Title Fight,Result,Round,Time,Method,Red Corner Bonus Award,Blue Corner Bonus Award,Red Corner Country,Blue Corner Country,Red Corner Odds,Blue Corner Odds
ROYCE GRACIE,GERARD GORDEAU,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,1:44,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,KEN SHAMROCK,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,0:57,SUBMISSION,-,-,-,-,-,-
GERARD GORDEAU,KEVIN ROSIER,UNLIMITED,NO TITLE,WINNER: GERARD GORDEAU,1,0:59,KO/TKO,-,-,-,-,-,-
ROYCE GRACIE,ART JIMMERSON,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,2:18,SUBMISSION,-,-,-,-,-,-
GERARD GORDEAU,TEILA TULI,UNLIMITED,NO TITLE,WINNER: GERARD GORDEAU,1,0:26,KO/TKO,-,-,-,-,-,-
KEN SHAMROCK,PATRICK SMITH,UNLIMITED,NO TITLE,WINNER: KEN SHAMROCK,1,1:49,SUBMISSION,-,-,-,-,-,-
KEVIN ROSIER,ZANE FRAZIER,UNLIMITED,NO TITLE,WINNER: KEVIN ROSIER,1,4:20,KO/TKO,-,-,-,-,-,-
JASON DELUCIA,TRENT JENKINS,UNLIMITED,NO TITLE,WINNER: JASON DELUCIA,1,0:52,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,PATRICK SMITH,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,1:17,KO/TKO,-,-,-,-,-,-
ROYCE GRACIE,REMCO PARDOEL,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,1:31,SUBMISSION,-,-,-,-,-,-
PATRICK SMITH,JOHNNY RHODES,UNLIMITED,NO TITLE,WINNER: PATRICK SMITH,1,1:07,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,JASON DELUCIA,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,1:07,SUBMISSION,-,-,-,-,-,-
PATRICK SMITH,SCOTT MORRIS,UNLIMITED,NO TITLE,WINNER: PATRICK SMITH,1,0:30,KO/TKO,-,-,-,-,-,-
JOHNNY RHODES,FRED ETTISH,UNLIMITED,NO TITLE,WINNER: JOHNNY RHODES,1,3:07,SUBMISSION,-,-,-,-,-,-
REMCO PARDOEL,ORLANDO WELT,UNLIMITED,NO TITLE,WINNER: REMCO PARDOEL,1,1:29,KO/TKO,-,-,-,-,-,-
ROYCE GRACIE,MINOKI ICHIHARA,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,5:08,SUBMISSION,-,-,-,-,-,-
PATRICK SMITH,RAY WIZARD,UNLIMITED,NO TITLE,WINNER: PATRICK SMITH,1,0:58,SUBMISSION,-,-,-,-,-,-
JOHNNY RHODES,DAVID LEVICKI,UNLIMITED,NO TITLE,WINNER: JOHNNY RHODES,1,12:13,KO/TKO,-,-,-,-,-,-
REMCO PARDOEL,ALBERTO CERRO LEON,UNLIMITED,NO TITLE,WINNER: REMCO PARDOEL,1,9:51,SUBMISSION,-,-,-,-,-,-
SCOTT MORRIS,SEAN DAUGHTERY,UNLIMITED,NO TITLE,WINNER: SCOTT MORRIS,1,0:20,SUBMISSION,-,-,-,-,-,-
FRANK HAMAKER,THADDEUS LUSTER,UNLIMITED,NO TITLE,WINNER: FRANK HAMAKER,1,4:52,SUBMISSION,-,-,-,-,-,-
ORLANDO WELT,ROBERT LUCARELLI,UNLIMITED,NO TITLE,WINNER: ORLANDO WELT,1,2:50,KO/TKO,-,-,-,-,-,-
JASON DELUCIA,SCOTT BAKER,UNLIMITED,NO TITLE,WINNER: JASON DELUCIA,1,6:41,SUBMISSION,-,-,-,-,-,-
STEVE JENNUM,N/A,BOUT,NO TITLE,WINNER: STEVE JENNUM,1,1:27,KO/TKO,-,-,-,-,-,-
KIMO LEOPOLDO,ROYCE GRACIE,UNLIMITED,NO TITLE,NO CONTEST,,,,-,-,-,-,-,-
KEN SHAMROCK,FELIX LEE MITCHELL,UNLIMITED,NO TITLE,WINNER: KEN SHAMROCK,1,4:34,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,KIMO LEOPOLDO,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,4:40,SUBMISSION,-,-,-,-,-,-
N/A,ROLAND PAYNE,BOUT,NO TITLE,WINNER: N/A,1,0:46,KO/TKO,-,-,-,-,-,-
KEN SHAMROCK,CHRISTOPHE LEININGER,BOUT,NO TITLE,WINNER: KEN SHAMROCK,1,4:49,KO/TKO,-,-,-,-,-,-
KEITH HACKNEY,EMMANUEL YARBROUGH,BOUT,NO TITLE,WINNER: KEITH HACKNEY,1,1:59,KO/TKO,-,-,-,-,-,-
ROYCE GRACIE,DAN SEVERN,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,15:49,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,KEITH HACKNEY,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,5:32,SUBMISSION,-,-,-,-,-,-
DAN SEVERN,MARCUS BOSSETT,UNLIMITED,NO TITLE,WINNER: DAN SEVERN,1,0:52,SUBMISSION,-,-,-,-,-,-
ROYCE GRACIE,RON VAN CLIEF,UNLIMITED,NO TITLE,WINNER: ROYCE GRACIE,1,3:49,SUBMISSION,-,-,-,-,-,-
